id,name,soupFace,soupBase,fewShots,clues,difficulty,sourceID
9848e513,生日蛋糕,一个人过生日，邀请他所有的好朋友来参加。吹完蜡烛的时候，这个人把他所有的好朋友都杀了。,这个男人是一名退伍军人，曾在战场上为了救这些朋友而失去了双腿。朋友们为了感谢他，承诺每年生日都为他准备一个蛋糕，但从未兑现。今年生日，朋友们终于带来了蛋糕，但男人发现蛋糕上插着假蜡烛（因为他曾告诉他们自己讨厌假蜡烛）。他意识到这些朋友从未真正关心过他，于是愤怒地杀了他们。,问题1: 这个男人有残疾吗？: 是的; 问题2: 这个残疾与朋友们有关吗？: 是的; 问题3: 朋友们之前承诺过什么重要的事情吗？: 是的; 问题4: 蛋糕有什么问题吗？: 是的; 问题5: 假蜡烛是导火索吗？: 是的,线索1：男人行动不便; 线索2：朋友们曾受过他的恩惠; 线索3：之前生日从未有过蛋糕; 线索4：男人对某些细节特别在意; 线索5：蛋糕上有让人愤怒的元素; 线索6：朋友们的行为带有施舍意味; 线索7：假蜡烛象征着敷衍; 线索8：男人的残疾是因朋友而起; 线索9：多年的承诺未被履行; 线索10：最后的蛋糕成为压垮骆驼的稻草,2,4f9df0ee
0c2b2020,生日蛋糕,一位退伍老兵邀请战友们参加生日派对。当他切开蛋糕后，突然拔枪射杀了所有战友。,这些战友曾在战场上抛下他独自逃跑，导致他被俘并失去双腿。战友们为掩饰真相，多年来一直欺骗他说是敌方狙击手所为。直到切蛋糕时，伪装成蛋糕支架的义肢突然松动，露出战俘营时期的特殊标记，老兵才明白真相。,生日派对是在室内举行的吗？:是; 蛋糕本身有问题吗？:不是; 老兵身体有残疾吗？:是; 战友们知道老兵会发难吗？:不知道; 蛋糕支架是特殊物品吗？:是,"老兵使用的是轮椅; 蛋糕支架看起来过于复杂; 战友们表情在切蛋糕时突然变得紧张; 派对的装饰带有军队元素; 蛋糕上写着""纪念我们一起走过的日子""; 老兵切蛋糕的手在发抖; 有人试图阻止老兵切蛋糕; 蛋糕支架发出奇怪的金属声; 墙上挂着当年的集体照; 音乐突然在切蛋糕时停止",2,4f9df0ee
e5f56dbc,黑色生日宴,一位富豪举办生日宴会，邀请了他所有商业伙伴。当宴会达到高潮时，他突然拔枪射杀了在场所有人。,富豪年轻时曾和这些商业伙伴一起创业，某次资金链断裂时，其他人都声称各自变卖了家产填补亏空，实际上却偷偷保留了财产，只有富豪一人真正变卖了所有家当。多年后富豪在生日宴会上故意展示当年他们签的假合同，发现只有自己的签名是血指印(因为当时他连笔都卖掉了)，意识到当年的欺骗后复仇杀人。,死者都是他的老朋友吗？:是; 他们曾经一起经历过困境吗？:是; 杀人动机与金钱有关吗？:是; 富豪展示过什么关键证据吗？:是; 其他人当年真的变卖家产了吗？:不是,宴会现场布置着怀旧风格的装饰; 富豪在杀人前展示了一份泛黄的合同; 所有死者看到合同时表情惊恐; 合同上其他人的签名都很工整; 唯独富豪的签名是红色指印; 侍者回忆富豪曾抚摸那个指印很久; 凶器是一把古董左轮手枪; 现场播放着他们创业时期的音乐; 富豪在杀人时提到二十年前的事; 法医发现死者钱包里都有同家银行的VIP卡,3,4f9df0ee
39afacc0,沉默生日会,一位聋哑人举办生日聚会，邀请了他所有的好友前来参加。在吹灭蜡烛后，他突然用刀刺死了所有在场的朋友。,这位聋哑人和朋友们曾经一起被困在一个没有光线的地下室里，大家约定用敲击墙壁的频率来联络求救。朋友们却背着他偷偷获救并装作仍在被困中。生日会上朋友们按照约定节奏鼓掌庆贺时，聋哑人发现他们竟然都记得这个频率，意识到当初被欺骗，愤怒之下杀死了他们。,提问：主角是先天聋哑人吗？回答：是; 提问：朋友们曾经一起经历过危险吗？回答：是; 提问：生日会上有出现特殊信号吗？回答：是; 提问：朋友们是否做过对不起主角的事？回答：是; 提问：杀人行为是否与声音有关？回答：不是,主角完全失去听力和语言能力; 朋友们都精通手语; 地下室事件发生在一年前; 获救时所有人都声称是靠运气; 生日蛋糕上有特殊的震动蜡烛; 朋友们按照特定节奏鼓掌; 主角随身带着刻有摩斯密码的怀表; 地下室的墙壁有大量敲击痕迹; 主角在杀人前一直在观察朋友们的动作; 法医发现所有死者手掌都有老茧,3,4f9df0ee
a474d14e,生日复仇,一个人过生日，邀请他所有的好朋友来参加。吹完蜡烛的时候，这个人把他所有的好朋友都杀了。,男主的妻子和朋友曾一起被困在电梯里，为了活下来，朋友们提议每人割下一块肉来吃，但最终只割了男主的肉。之后男主邀请朋友们来参加自己的生日聚会，吹完蜡烛后所有人都吃了蛋糕，男主发现蛋糕里掺了自己的肉，愤怒之下杀了所有的朋友。,问题1: 男主和他的朋友曾经发生过什么不愉快的事情吗？回答1: 是的; 问题2: 男主的朋友们曾经伤害过男主吗？回答2: 是的; 问题3: 蛋糕里有什么特别的东西吗？回答3: 是的; 问题4: 男主在生日聚会上发现了什么？回答4: 朋友们欺骗了他; 问题5: 男主是出于愤怒杀人吗？回答5: 是的,线索1: 男主曾和朋友们一起被困在电梯里; 线索2: 朋友们提议每人割下一块肉来吃; 线索3: 最终只有男主割了肉; 线索4: 朋友们欺骗了男主; 线索5: 男主在生日聚会上准备了蛋糕; 线索6: 蛋糕里掺了男主的肉; 线索7: 男主发现了朋友的欺骗行为; 线索8: 男主感到极度的愤怒; 线索9: 男主杀人是为了报复; 线索10: 男主的行为是出于长期积累的怨恨,3,4f9df0ee
70435145,阳台上的男人,自从那场火灾后，邻居老王就总是站在阳台上发呆。有一天深夜，我听到他家中传来撕心裂肺的哭声。我担心出事就报了警，当警察破门而入时，所有人都被眼前的景象惊呆了。,老王是个单身父亲，他深爱的妻子在一场他精心策划的火灾中丧生。他原本想带着儿子开始新生活，但儿子在火灾中严重毁容。为了不让儿子遭受世人异样的眼光，老王把儿子锁在家里。直到那天晚上，他终于崩溃地发现儿子自杀了，而自己这么多年来一直对着一个早已死去的尸体说话。,老王之前有妻子吗？:是的，妻子已经去世; 火灾是意外吗？:不是; 老王的孩子还活着吗？:不是; 阳台能看到什么特殊的东西吗？:能看到当年火灾的废墟; 警察看到了什么？:看到一具已经腐烂的尸体,老王经常对着空气自言自语; 附近的居民总能闻到一股奇怪的臭味; 老王从不让人进他的卧室; 火灾后就没人见过老王的儿子; 老王的购物清单里总有双人份的食物; 有人听到过老王家里传出对话声; 老王的卧室窗帘永远拉得严严实实; 社区工作人员多次上门都被拒绝进入; 火灾保险理赔金额异常高; 老王的前妻曾购买过高额人身保险,3,c2759d22
591fbedc,病房黑影,医院的深夜病房里总是传来敲击声。值班护士小张连续三天看到同一个黑影站在3号病床前。第四天她终于鼓起勇气上前查看，却在看清的瞬间瘫坐在地。,3号病床是植物人李教授，他女儿为了遗产长期注射镇静剂阻止他苏醒。黑影是李教授的孪生弟弟，他每晚来病房用摩斯密码敲击试图唤醒哥哥。第四天护士看到的是已经苏醒的李教授正用扭曲的姿势敲击着弟弟留下的密码本——上面记录着女儿下毒的证据。,问题1:病床上的患者是活人吗？:是; 问题2:黑影是否具有实体？:是; 问题3:敲击声是否有特殊含义？:是; 问题4:女儿是否知道黑影的存在？:不是; 问题5:患者苏醒与黑影有关吗？:是,"夜间巡逻表显示黑影出现时间精确到分钟; 3号病床心电图在黑影出现时有异常波动; 病房窗台发现不属于医护人员的指痕; 护士曾闻到淡淡的雪茄味（李教授弟弟的特征）; 密码本扉页写着""哥，还记得夏令营的萤火虫吗""; 镇静剂用量记录存在涂改痕迹; 监控显示女儿每次探望后患者体征会恶化; 病床扶手有规律性磨损痕迹; 护士听见黑影发出过哽咽声; 抽屉里发现被撕碎的财产公证文件",3,c2759d22
d8270e60,实验日记,我在生物研究所工作，负责照料实验动物。某天我发现笼子里的兔子突然开始集体死亡，于是加紧监控。那天深夜，我透过监视器看到最年长的实验员跪在兔笼前嚎啕大哭。当我冲进实验室时，看到的场景让我浑身发冷。,这位实验员偷偷用兔子做非法基因改造实验，试图复活自己死去的女儿。他利用职务之便篡改了实验记录，但随着实验推进，兔子都因基因缺陷陆续死亡。最后他精神崩溃，将女儿的残骸拼接进最后一只实验兔体内。,问题1:兔子死亡是自然现象吗？回答1:不是; 问题2:实验员的行为是否被研究所允许？回答2:不是; 问题3:实验员与兔子有特殊关系吗？回答3:是; 问题4:死者是实验员的亲属吗？回答4:是; 问题5:最后看到的场景涉及人体组织吗？回答5:是,实验室最近增加了基因检测设备; 实验员经常加班到深夜; 监控显示实验员曾偷偷调换样本; 实验记录有多处时间对不上; 死亡的兔子都呈现相似的基因突变; 实验员桌上放着小女孩的照片; 实验室冷藏库有不明生物组织; 最后存活的兔子体型异常; 监视器拍到实验员往笼子注射不明液体; 清洁工反映最近垃圾中有缝合工具,3,c2759d22
93b48839,消失的邻居,自从公寓楼新搬来一位住户后，我经常听到隔壁传来奇怪的声音。有天深夜，我听到一声惨叫冲出门外，发现走廊墙壁上渗出暗红色液体。警察来调查后，那位新邻居却凭空消失了。,我其实是连环杀手，专门挑选独居女性作案。新邻居是潜伏调查的侦探，他发现墙里藏着我前几位受害者的尸体。那晚他想取证据时被我反杀，血迹渗出了墙面。警察其实是我假扮的，为的是处理最后的证据。,问题1:新邻居是男性吗？:不是; 问题2:墙里藏着东西吗？:是; 问题3:我认识之前的受害者吗？:不是; 问题4:液体真是血迹吗？:是; 问题5:警察有发现异常吗？:不是,公寓隔音很差但很少听到邻居说话; 新邻居总在深夜发出敲击声; 我的工具箱里有多余的砌墙工具; 管理处没有新住户的登记记录; 走廊监控总在关键时段失灵; 冰箱里有不明肉块包装; 卧室衣柜锁着从不让客人进入; 网购记录显示大量清洁剂购买; 手机里有多个女性物品的二手交易记录; 日历上每隔三个月就有红色标记,3,c2759d22
226fe525,妈妈的唱片,我从地下室翻出妈妈珍藏的黑胶唱片播放，爸爸听到后突然脸色苍白地冲进来砸碎了唱片机。,妈妈是著名歌手，因癌症去世前用特殊方法将自己的声纹刻录进黑胶唱片。每当播放时，唱片会释放出妈妈生前服用的放射性药物残留，导致接触者出现类似她临终前的症状。爸爸发现我在播放后，为保护我才慌忙销毁唱片机。,问题1:唱片是普通的音乐唱片吗？:不是; 问题2:妈妈是否还活着？:不是; 问题3:唱片播放对人有危害吗？:是; 问题4:爸爸的行为是在保护我吗？:是; 问题5:妈妈生前是否患有特殊疾病？:是,妈妈生前职业与声音有关; 地下室里还有其他类似的收藏品; 唱片表面有奇怪的刻痕; 每次播放后房间温度会异常升高; 爸爸最近总在服用某种药物; 妈妈去世前三个月突然停止公开演出; 唱片机砸碎时冒出了奇怪的烟雾; 家里禁止谈论妈妈的死因; 我的手腕最近出现了不明红疹; 医院曾给妈妈寄过放射性物质警告单,3,4afc3d85
